months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-02,1.165159337,0.969921338,0.835059465,0.756778342,0.724054875,0.72346346,0.746652085,0.79076569,0.855528293,0.940398491,1.043617028,1.161571458,1.288115589,1.419773521,1.554098586,1.688644358,1.82096441,1.948612362,2.069594431,2.183478846,2.290170569,2.389574559,2.481595777,2.566139185,2.643184987,2.713080176,2.776283343,2.833253102,2.884448071,2.930326866,2.971348101,3.007970394,3.04065236,3.069852616,3.096029777,3.11964246,3.141101184,3.160604132,3.178290907,3.194301107,3.208774334,3.221850188,3.233668269,3.244368176,3.254089511,3.262971873,3.271154863,3.27877808,3.285963268,3.292753326,3.299169404,3.305232652,3.310964218,3.316385251,3.321516901,3.326380316,3.330996646,3.335387039,3.339572645,3.343574612
2009-01-05,1.104202012,0.929426497,0.816980642,0.758511263,0.740323934,0.751674612,0.783810738,0.83339908,0.900891981,0.986296075,1.088638308,1.204664472,1.329393231,1.459788678,1.593437916,1.727928053,1.860846192,1.989779483,2.11273417,2.229162886,2.338830075,2.441500178,2.536937636,2.62490689,2.705287033,2.778415757,2.844745404,2.904728316,2.958816837,3.007463309,3.051120074,3.090239474,3.125273854,3.156675553,3.184896917,3.210390286,3.233558701,3.25460799,3.273694678,3.290975292,3.306606358,3.3207444,3.333545945,3.345167518,3.355765644,3.365496851,3.374517663,3.382984605,3.391038036,3.398731226,3.406088255,3.41313318,3.419890061,3.426382955,3.432635921,3.438673017,3.444518302,3.450195833,3.45572967,3.46114387
2009-01-06,1.078916836,0.918879068,0.829884533,0.796831582,0.797816628,0.821094126,0.862062816,0.918220042,0.98918612,1.074870287,1.174898322,1.287196419,1.40755795,1.533057612,1.66124144,1.789655474,1.915845751,2.037358359,2.152225187,2.260154727,2.361216911,2.455481665,2.543018919,2.623898602,2.698244308,2.766394297,2.828740495,2.885674827,2.937589218,2.984875594,3.027925881,3.067132004,3.102885888,3.135579459,3.165604644,3.193353366,3.219171095,3.243217476,3.265605696,3.286448942,3.305860402,3.323953263,3.340840713,3.35663594,3.371452132,3.385402474,3.398600157,3.411158366,3.423178419,3.434703769,3.445760265,3.45637375,3.466570068,3.476375062,3.485814578,3.494914458,3.503700546,3.512198687,3.520434724,3.528434501
2009-01-07,1.019890103,0.876956938,0.793026067,0.752541722,0.741513381,0.752527214,0.782234513,0.829800043,0.89480778,0.975793417,1.070339058,1.176033101,1.289201409,1.407358209,1.528425972,1.650327171,1.770984279,1.888319806,2.000633473,2.107526839,2.208882103,2.304581468,2.394507134,2.478541303,2.556641372,2.629065518,2.696147118,2.758219545,2.815616175,2.868670382,2.91771554,2.963085025,3.005112211,3.044130473,3.080473185,3.114473722,3.146434886,3.176510443,3.204808817,3.23143842,3.256507665,3.280124964,3.302398729,3.323437374,3.343349311,3.362242951,3.380226708,3.397408995,3.413885814,3.429698384,3.44487281,3.459435197,3.473411648,3.486828268,3.499711161,3.512086431,3.523980183,3.53541852,3.546427547,3.557033368
2009-01-08,0.981458979,0.799665517,0.706744753,0.679994945,0.691510633,0.723410924,0.766371962,0.817913604,0.878193059,0.947627382,1.026267008,1.113344927,1.208136975,1.309141492,1.414631793,1.522881192,1.632163005,1.740750568,1.84714409,1.950626754,2.050650533,2.1466674,2.23812933,2.324488295,2.405309063,2.480706234,2.550961696,2.616357377,2.677175202,2.733697101,2.786204999,2.834980824,2.880306503,2.922463963,2.961735132,2.998401937,3.032723707,3.064860012,3.094942894,3.123104398,3.149476567,3.174191446,3.197381077,3.219177506,3.239712774,3.259118927,3.277528008,3.29507206,3.311868604,3.327971039,3.343415078,3.358236429,3.372470802,3.386153909,3.399321458,3.412009159,3.424252724,3.436087862,3.447550283,3.458675696
2009-01-09,0.984460457,0.807227556,0.701574308,0.65627271,0.652331378,0.674554298,0.713292035,0.763832384,0.825010122,0.897503854,0.981589157,1.075454285,1.17622854,1.281860661,1.390607694,1.50072676,1.610474979,1.7181095,1.822177515,1.922227216,2.018022585,2.109327605,2.195906259,2.277522528,2.354015531,2.425556097,2.492406567,2.554829288,2.613086605,2.667440864,2.71815441,2.765489589,2.809708746,2.851074227,2.889848377,2.926293542,2.960648322,2.993056342,3.023637481,3.052511618,3.079798631,3.105618402,3.130090807,3.153335728,3.175473042,3.19662263,3.216904369,3.236438141,3.255330016,3.273625112,3.291351728,3.308538163,3.325212716,3.341403686,3.357139373,3.372448075,3.387358092,3.401897723,3.416095268,3.429979024
2009-01-12,1.02170907,0.855664537,0.739410926,0.677216729,0.655267236,0.660962561,0.687600042,0.733127597,0.796296995,0.874723588,0.965904752,1.066098322,1.171995667,1.281816336,1.394129555,1.507504548,1.620510541,1.731716779,1.839890805,1.944484521,2.045097363,2.141328766,2.232778167,2.319044999,2.399840597,2.475323884,2.54576568,2.611436807,2.672608086,2.729550337,2.782534382,2.831831042,2.877711138,2.920445491,2.960304921,2.997560251,3.032461881,3.065178534,3.095858516,3.124650129,3.151701679,3.177161468,3.201177802,3.223898983,3.245473317,3.266049106,3.285774656,3.30479827,3.323253451,3.341193986,3.35864694,3.375639357,3.392198283,3.408350763,3.424123843,3.439544567,3.45463998,3.469437129,3.483963057,3.498244812
2009-01-13,1.001977079,0.827633237,0.724021332,0.681984753,0.679940253,0.700460512,0.732861054,0.774628382,0.828582041,0.896872016,0.979925643,1.075725949,1.180921463,1.293082221,1.410083821,1.529801864,1.65011195,1.768889711,1.884325631,1.995696821,2.102514639,2.204290444,2.300535596,2.390761454,2.474619886,2.552324796,2.624230597,2.690691703,2.752062526,2.808697481,2.860950981,2.909177438,2.953731267,2.99496688,3.033238691,3.068901112,3.102274431,3.133542424,3.162854741,3.190361034,3.21621095,3.240554142,3.263540258,3.285318949,3.306039866,3.325852657,3.344906974,3.363352466,3.381321361,3.398860961,3.415992729,3.43273812,3.449118592,3.465155601,3.480870603,3.496285055,3.511420413,3.526298134,3.540939673,3.555366488
2009-01-14,0.979423704,0.865093137,0.786369847,0.750552483,0.747596652,0.766513319,0.800677994,0.847794319,0.907856224,0.980450457,1.064042763,1.156776013,1.255661321,1.35893845,1.46525131,1.573243813,1.681559872,1.788843414,1.893895578,1.996060071,2.094797565,2.189568733,2.279834246,2.365054777,2.444825554,2.519280032,2.588686223,2.653312141,2.713425796,2.769295202,2.821188369,2.869373311,2.91411804,2.955690567,2.994358905,3.030391065,3.064039203,3.095478168,3.124859293,3.152333905,3.178053328,3.202168889,3.224831914,3.24619373,3.266405662,3.285619037,3.30398518,3.321655418,3.338761923,3.355352304,3.371450839,3.387081807,3.402269487,3.417038156,3.431412094,3.445415578,3.459072888,3.472408301,3.485446096,3.498210551
